match_id,period,player_id,player_name,player_position,team_shortname,x_start,y_start,x_end,y_end,start_zone,end_zone,game_state,targeted,received,tiro_desde_centro,gol_desde_centro,desmarque_ruptura_con_opcion_pase
2047793,1,34536,L. González Pírez,LCB,Estudiantes,-9.57,2.01,-9.57,2.01,8,8,drawing,False,False,0,0,0
2047793,1,36739,C. Medina,LM,Estudiantes,2.94,-1.57,2.94,-1.57,13,13,drawing,True,True,0,0,0
2047793,1,34536,L. González Pírez,LCB,Estudiantes,-9.22,2.82,-8.98,3.75,8,8,drawing,False,False,0,0,0
2047793,1,58765,T. Palacios,RW,Estudiantes,6.97,-7.97,11.92,4.27,14,13,drawing,False,False,0,0,0
2047793,1,38610,S. Arzamendia,LB,Estudiantes,-1.3,16.35,-1.94,20.84,7,7,drawing,False,False,0,0,0
2047793,1,131530,S. Núñez,RCB,Estudiantes,-7.45,-5.68,-9.16,-5.48,9,9,drawing,False,False,0,0,0
2047793,1,28615,E. Piovi,DM,Estudiantes,2.33,-12.61,0.1,-12.89,14,9,drawing,False,False,0,0,0
2047793,1,34536,L. González Pírez,LCB,Estudiantes,-9.19,7.64,-10.16,8.41,8,8,drawing,False,False,0,0,0
2047793,1,38610,S. Arzamendia,LB,Estudiantes,-4.34,21.21,-5.64,22.05,7,7,drawing,True,True,0,0,0
2047793,1,58765,T. Palacios,RW,Estudiantes,10.37,10.09,8.05,10.52,13,13,drawing,False,False,0,0,0
2047793,1,34536,L. González Pírez,LCB,Estudiantes,-12.67,11.03,-14.38,11.6,8,8,drawing,False,False,0,0,0
2047793,1,36739,C. Medina,LM,Estudiantes,1.29,16.89,2.63,21.61,12,12,drawing,False,False,0,0,0
2047793,1,25949,E. Cetré,LW,Estudiantes,19.52,33.07,19.28,33.08,11,11,drawing,True,True,0,0,0
2047793,1,36739,C. Medina,LM,Estudiantes,9.02,25.59,9.02,25.59,12,12,drawing,False,False,0,0,0
2047793,1,35564,G. Rojas,LB,Racing Club,-11.94,30.51,-7.12,33.19,6,6,drawing,False,False,0,0,0
2047793,1,28677,N. Colombo,RCB,Racing Club,-28.55,-15.78,-26.97,-15.19,4,4,drawing,True,True,0,0,0
2047793,1,123094,A. García Basso,LCB,Racing Club,-20.36,11.78,-18.32,11.9,8,8,drawing,False,False,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,12.12,-29.41,10.56,-26.3,15,15,drawing,False,False,0,0,0
2047793,1,36722,F. Cambeses,GK,Racing Club,-34.51,-1.6,-34.48,-1.57,3,3,drawing,True,True,0,0,0
2047793,1,28677,N. Colombo,RCB,Racing Club,-15.06,-19.7,-16.6,-19.1,10,9,drawing,False,False,0,0,0
2047793,1,123094,A. García Basso,LCB,Racing Club,-19.29,13.93,-19.09,14.87,7,7,drawing,True,True,0,0,0
2047793,1,28677,N. Colombo,RCB,Racing Club,-18.13,-17.18,-19.11,-15.51,9,9,drawing,False,False,0,0,0
2047793,1,36722,F. Cambeses,GK,Racing Club,-32.62,1.88,-32.6,1.87,3,3,drawing,True,True,0,0,0
2047793,1,28677,N. Colombo,RCB,Racing Club,-19.34,-16.97,-19.34,-16.97,9,9,drawing,True,True,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,6.89,-19.88,6.89,-19.88,15,15,drawing,False,False,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,1.77,-20.47,1.53,-20.13,15,15,drawing,False,False,0,0,0
2047793,1,123094,A. García Basso,LCB,Racing Club,-15.9,12.21,-16.0,10.7,8,8,drawing,True,True,0,0,0
2047793,1,28677,N. Colombo,RCB,Racing Club,-14.32,-16.02,-14.15,-15.75,9,9,drawing,False,False,0,0,0
2047793,1,28747,E. Almendra,LM,Racing Club,-4.4,25.78,-5.33,25.92,7,7,drawing,True,True,0,0,0
2047793,1,123094,A. García Basso,LCB,Racing Club,-15.05,13.24,-15.32,14.48,7,7,drawing,False,False,0,0,0
2047793,1,35671,D. Vergara,LF,Racing Club,23.39,25.41,23.42,25.71,12,12,drawing,True,False,0,0,0
2047793,1,28677,N. Colombo,RCB,Racing Club,-11.78,5.94,-17.41,0.65,8,8,drawing,False,False,0,0,0
2047793,1,123094,A. García Basso,LCB,Racing Club,-10.05,32.22,-14.32,30.92,6,6,drawing,False,False,0,0,0
2047793,1,36722,F. Cambeses,GK,Racing Club,-30.26,8.77,-32.56,7.82,3,3,drawing,True,True,0,0,0
2047793,1,123094,A. García Basso,LCB,Racing Club,-20.59,25.07,-21.31,23.83,7,7,drawing,False,False,0,0,0
2047793,1,28677,N. Colombo,RCB,Racing Club,-23.39,-9.23,-23.64,-15.09,9,9,drawing,True,True,0,0,0
2047793,1,123094,A. García Basso,LCB,Racing Club,-21.46,9.24,-22.1,9.82,8,8,drawing,False,False,0,0,0
2047793,1,36722,F. Cambeses,GK,Racing Club,-33.68,-2.35,-33.73,-2.3,3,3,drawing,True,True,0,0,0
2047793,1,123094,A. García Basso,LCB,Racing Club,-19.93,18.0,-16.48,24.98,7,7,drawing,False,False,0,0,0
2047793,1,35671,D. Vergara,LF,Racing Club,4.06,45.39,6.37,38.29,11,11,drawing,False,False,0,0,0
2047793,1,28677,N. Colombo,RCB,Racing Club,-18.85,-22.08,-19.66,-26.14,10,10,drawing,False,False,0,0,0
2047793,1,26252,J. Nardoni,RM,Racing Club,12.78,-10.61,13.02,-12.77,14,14,drawing,False,False,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,15.41,-7.34,15.99,-7.84,14,14,drawing,False,False,0,0,0
2047793,1,28755,F. Mura,RB,Racing Club,14.13,-31.87,15.79,-31.98,15,15,drawing,True,False,0,0,0
2047793,1,38142,A. Martínez,CF,Racing Club,18.74,-1.82,19.81,-2.67,13,13,drawing,False,False,0,0,0
